200
-0.58766 0.52139 1 100
-0.18967 -0.12087 61 160 162
-0.17759 -0.15497 62 161 163
-0.16401 -0.18852 63 162 164
-0.14903 -0.22149 64 163 165
-0.13275 -0.25385 65 164 166
-0.11527 -0.28558 66 165 167
-0.09669 -0.31665 67 166 168
-0.07710 -0.34706 68 167 169
-0.05659 -0.37680 69 168 170
-0.03524 -0.40587 70 169 171
-0.01313 -0.43426 71 170 172
0.00967 -0.46198 72 171 173
0.03309 -0.48905 73 172 174
0.05704 -0.51546 74 173 175
0.08148 -0.54123 75 174 176
0.10632 -0.56637 76 175 177
0.13151 -0.59091 77 176 178
0.15698 -0.61486 78 177 179
0.18265 -0.63824 79 178 180
0.20848 -0.66107 80 179 181
0.23438 -0.68339 81 180 182
0.26030 -0.70523 82 181 183
0.28614 -0.72660 83 182 184
0.31185 -0.74755 84 183 185
0.33732 -0.76810 85 184 186
0.36252 -0.78826 86 185 187
0.38729 -0.80805 87 186 188
0.41164 -0.82748 88 187 189
0.43539 -0.84651 89 188 190
0.45855 -0.86516 90 189 191
0.48094 -0.88334 91 190 192
0.50257 -0.90105 92 191 193
0.52324 -0.91814 93 192 194
0.54293 -0.93463 94 193 195
0.56140 -0.95031 95 194 196
0.57854 -0.96511 96 195 197
0.59400 -0.97870 97 196 198
0.60741 -0.99075 98 197 199
0.61794 -1.00000 99 198
